Time,BV,Title,Author,Status,Comment
2026-02-11 05:13:43,BV12ZzUBLEd3,2026年公认最好的【Python入门零基础教程】附课件、代码及实战项目！！！--python|python安装|python爬虫|人工智能|程序员,python入门零基础1,成功,UP视频做的好棒！支持！
2026-02-11 05:15:16,BV12omoB4ExF,黑马程序员全网最全Coze智能体入门到项目实战全套教程，从AI Agent开发入门到6大AI智能体实战项目，涵盖提示词Prompt、RAG、Bot发布微信公众号,黑马程序员,成功,UP视频做的好棒！支持！
2026-02-11 05:15:26,BV1zV2QBtE39,黑马程序员PythonWeb开发：FastAPI从入门到实战视频教程，涵盖路由、依赖注入、Pydantic、异步编程、ORM、项目拆分、模型训练、部署、接口测试,黑马程序员,成功,UP视频做的好棒！支持！
2026-02-11 05:15:35,BV1aEqHBgEH9,【强推】AI大模型零基础到商业实战教程！一口气学完Python、大模型应用开发、Agent智能体、Langchain、RAG微调等AI应用落地基础，从入门到精通,水七讲机器学习,成功,UP视频做的好棒！支持！
2026-02-11 05:15:56,BV1eorABKEUt,【2026版】B站讲的最好的Coze（扣子）从入门到精通！涵盖coze智能体搭建_coze工作流教程_coze应用开发 ——基础/应用/工作流/搭建智能体！,扣子Coze-,成功,UP视频做的好棒！支持！
2026-02-11 05:16:05,BV18KULB5EcP,【AI大模型】🚀全网最新版“LangChain1.0✚LangGraph1.0”企业级Agent智能体开发实战教程！（马士兵-码士集团）,马士兵IT课堂,成功,UP视频做的好棒！支持！
2026-02-11 05:34:33,BV1nz6KBHEc9,黑马程序员零基础具身智能机械臂实战项目开发全套视频课程，涵盖OpenCV、YOLO、DeepSeek等，从机械臂硬件、核心算法到人工智能完整技术栈,黑马程序员,成功,UP视频做的好棒！支持！
2026-02-11 05:34:42,BV1UgCuBUEdk,马士兵谈计算机就业行情，预测分析2026-2030年IT最有钱途的职业岗位&编程方向！（方向选择/面试突击/大龄迷茫/裁员就业/考研失败怎么办？）,码士集团_马小菲,成功,UP视频做的好棒！支持！
2026-02-11 05:34:51,BV1h9CeB4EXs,【全568集】清华大佬终于把AI Agent智能体讲清楚了，2025最新版，手把手教你从0基础开始搭建企业级Agent！学完即可就业！让你少走99%弯路！！,大模型课堂,成功,UP视频做的好棒！支持！
2026-02-11 05:35:01,BV1uTFYzoEGh,只靠嘴让AI给我做了款游戏！游戏行业要变天了？【视频播客EP.34】,核电波,成功,UP视频做的好棒！支持！
2026-02-11 05:35:10,BV1Jh6FBYExH,AI大模型企业级全套教程：应用开发从基础入门到项目落地-LangChain1.0+LangGraph+AgentSkills+DeepAgent-多模态码士集团,马士兵官方账号,成功,UP视频做的好棒！支持！
2026-02-11 05:36:49,BV1kmcMzjEGj,摩尔线程与“全球Robotaxi第一股”小马智行达成战略合作,摩尔线程,成功,UP视频做的好棒！支持！
2026-02-11 05:36:59,BV1oWcczUE1G,176TOPS！96GB，国产AI开发板终于成熟了！— 香橙派AI Station,芯板坊,成功,UP视频做的好棒！支持！
2026-02-11 16:00:20,BV1BPcszUEnd,10分钟让你搞懂什么是智能体（AI Agent）？_大模型开发必备基础知识_AI Agent基础快速入门_大模型_编程_AI_人工智能,别看他了看我,失败,UP视频做的好棒！支持！
2026-02-11 16:00:58,BV1VLcszVEzm,谁家的ai被林墨开发成这样了。。。,lililili_527冰淇淋,失败,UP视频做的好棒！支持！
2026-02-11 16:15:29,BV1MscszTEhi,【吊打付费】目前B站最全最细的AI大模型面试八股文，手把手带你一个月搞定大模型面试，包含所有干货！这还没人看! 我不更了！！,AI大模型学习教程,失败,UP视频做的好棒！支持！
2026-02-11 16:16:34,BV1SpcszqECF,翻遍整个B站，这绝对是2026讲的最好的AI大模型应用开发全套教程，全程干货无废话！让你少走99%的弯路！AI大模型|LLM|RAG|Agent|应用落地,AI产品经理课程,失败,UP视频做的好棒！支持！
2026-02-11 16:16:44,BV1MscszTEhi,【吊打付费】目前B站最全最细的AI大模型面试八股文，手把手带你一个月搞定大模型面试，包含所有干货！这还没人看! 我不更了！！,AI大模型学习教程,失败,UP视频做的好棒！支持！
2026-02-11 16:16:54,BV1jTcszUEKL,程序员转AI Agent没那么难，很多是你熟悉的后端开发,朱老师AI课堂,失败,UP视频做的好棒！支持！
2026-02-11 16:17:02,BV1BPcszUEnd,10分钟让你搞懂什么是智能体（AI Agent）？_大模型开发必备基础知识_AI Agent基础快速入门_大模型_编程_AI_人工智能,别看他了看我,失败,UP视频做的好棒！支持！
2026-02-11 16:24:39,BV1SpcszqECF,翻遍整个B站，这绝对是2026讲的最好的AI大模型应用开发全套教程，全程干货无废话！让你少走99%的弯路！AI大模型|LLM|RAG|Agent|应用落地,AI产品经理课程,成功,UP视频做的好棒！支持！
2026-02-11 16:24:52,BV1MscszTEhi,【吊打付费】目前B站最全最细的AI大模型面试八股文，手把手带你一个月搞定大模型面试，包含所有干货！这还没人看! 我不更了！！,AI大模型学习教程,成功,UP视频做的好棒！支持！
2026-02-11 16:36:31,BV1jTcszUEKL,程序员转AI Agent没那么难，很多是你熟悉的后端开发,朱老师AI课堂,成功,UP视频做的好棒！支持！
2026-02-11 16:36:43,BV1BPcszUEnd,10分钟让你搞懂什么是智能体（AI Agent）？_大模型开发必备基础知识_AI Agent基础快速入门_大模型_编程_AI_人工智能,别看他了看我,成功,UP视频做的好棒！支持！
2026-02-11 16:41:43,BV1VLcszVEzm,谁家的ai被林墨开发成这样了。。。,lililili_527冰淇淋,成功,UP视频做的好棒！支持！
2026-02-11 16:42:02,BV1VGcszLE3w,【Dify+Skill】基于Dify平台的Agent Skill实战教程，一个简单案例告诉你什么是Skill！,AI大模型开发,成功,UP视频做的好棒！支持！
2026-02-11 16:50:39,BV1FrcszxEsJ,陪你工作的小助手1：模型的导入和配置,幻星晞,成功,UP视频做的好棒！支持！
2026-02-11 16:50:56,BV1vQcszmE7o,最新IDE 对标Claude code 可以嵌入Gemini3.0 起飞,kanaduowalso,成功,UP视频做的好棒！支持！
2026-02-12 03:45:32,BV17DFazBE7k,(官方中英!) 2026公认最好的【LangChain】教程！附课件代码 LangChain Chat with Your Data,吴恩达langchain,成功,UP视频做的好棒！支持！
2026-02-12 03:45:43,BV1DbchzoEEu,你这么说我写的小智ai服务端，那我就给你挂网上！,人工不智能4086,成功,UP视频做的好棒！支持！
2026-02-12 03:50:28,BV17kcez1EvV,【重磅更新】Xcode 26.3正式接入Claude和Codex，苹果AI编程新时代来了！,孟健AI编程,成功,UP视频做的好棒！支持！
2026-02-12 04:13:54,BV1aGcezKEzG,【中配】AI会取代软件开发人员吗：行业现状与就业真相 - Caleb Writes Code,黑纹白斑马,成功,UP视频做的好棒！支持！
